Pathology,CheXNet_224,Novel_224,Novel_384,Hybrid_BCE_384
Atelectasis,0.839989826119127,0.884330836108028,0.8806219940806511,0.9003311135775065
Cardiomegaly,0.8967489053448938,0.9571957809780159,0.9563957214387014,0.9545041077992368
Consolidation,0.7995527139015421,0.805258767356347,0.8198825530980736,0.8354524998627958
Edema,0.8911823051980746,0.9021358226089058,0.8771222282641531,0.9116493464644634
Effusion,0.8856586683616715,0.9189521236748313,0.9159160972509136,0.9235744932010626
Emphysema,0.9126180042025922,0.9354471297782793,0.954171289724724,0.9632629595423017
Fibrosis,0.7947096552620344,0.8298981751350548,0.8142276347299832,0.8563684630664414
Hernia,0.9061844411874587,0.8253154007529384,0.8607782280081616,0.9234560450613559
Infiltration,0.7533861044020944,0.79295277048111,0.7782908167762637,0.7885221162491407
Mass,0.8707170536888204,0.9040884466720049,0.9025512322429491,0.8928447858279703
No Finding,0.8084817084743408,0.8381426192347377,0.838835042128449,0.848924334525547
Nodule,0.7814404567813984,0.8369908615731249,0.8401798646729128,0.8437126083701271
Pleural_Thickening,0.8191270331480337,0.8621625360304715,0.8400617021824172,0.8656320774140416
Pneumonia,0.7966801328252919,0.7849201977076926,0.8332912515876295,0.8086122205389524
Pneumothorax,0.8831937339109315,0.9149472827845854,0.9190951819642099,0.9390330080137294
