Pathology,CheXNet_224,Novel_224,Novel_384
Atelectasis,0.8098700191774986,0.8360963136586406,0.8638056680161943
Cardiomegaly,0.8760076707269434,0.9216147590468412,0.9389626762314003
Consolidation,0.7862812753360862,0.7922833744995632,0.8121185838816927
Edema,0.8884928716904277,0.9174304141208418,0.9261852229011089
Effusion,0.8807090386458002,0.899811671934713,0.8988314849282482
Emphysema,0.8760890472957682,0.9241768499660556,0.9371888436297806
Fibrosis,0.8061853359728085,0.8363774449383085,0.8246492112700605
Hernia,0.9765128719491808,0.9438314944834504,0.9692410565028419
Infiltration,0.7425650701051771,0.7842751425639125,0.7830173391670718
Mass,0.8646105593308939,0.8794755784679538,0.893835883939891
No Finding,0.7806997346497488,0.8172562599838927,0.8177310865033631
Nodule,0.751635827089818,0.8292796104254977,0.823763418995928
Pleural_Thickening,0.768081841432225,0.8125262858766695,0.8094572321682296
Pneumonia,0.6933830971659919,0.7259615384615385,0.7367577597840755
Pneumothorax,0.8550019922874837,0.8957054386071547,0.8718655239716082
